temp,pres,hum,accel,ts,run_id,floor,day_id,location
23.57,998.21,27.32,-0.49,2021-01-01 00:00:05,0,7,0,buffalo
23.52,998.15,27.36,-0.36,2021-01-01 00:00:06,0,7,0,buffalo
23.52,998.2,27.43,-0.3,2021-01-01 00:00:06,0,7,0,buffalo
23.52,998.2,27.48,-0.54,2021-01-01 00:00:07,0,7,0,buffalo
23.53,998.21,27.52,-0.13,2021-01-01 00:00:08,0,7,0,buffalo
23.53,998.19,27.43,-0.22,2021-01-01 00:00:08,0,7,0,buffalo
23.53,998.19,27.38,-0.37,2021-01-01 00:00:09,0,7,0,buffalo
23.52,998.18,27.3,-0.34,2021-01-01 00:00:09,0,7,0,buffalo
23.52,998.18,27.32,-0.31,2021-01-01 00:00:10,0,7,0,buffalo
23.52,998.18,27.34,-0.37,2021-01-01 00:00:10,0,7,0,buffalo
23.52,998.17,27.36,-0.36,2021-01-01 00:00:11,0,7,0,buffalo
23.52,998.11,27.41,-0.35,2021-01-01 00:00:12,0,7,0,buffalo
23.53,998.19,27.49,-0.27,2021-01-01 00:00:12,0,7,0,buffalo
23.52,998.2,27.53,-0.37,2021-01-01 00:00:13,0,7,0,buffalo
23.52,998.22,27.58,-0.23,2021-01-01 00:00:13,0,7,0,buffalo
23.52,998.17,27.62,-0.33,2021-01-01 00:00:14,0,7,0,buffalo
23.53,998.22,27.67,-0.34,2021-01-01 00:00:15,0,7,0,buffalo
23.53,998.21,27.71,-0.2,2021-01-01 00:00:15,0,7,0,buffalo
23.53,998.27,27.7,-0.26,2021-01-01 00:00:16,0,7,0,buffalo
23.52,998.2,27.75,-0.33,2021-01-01 00:00:16,0,7,0,buffalo
23.52,998.22,27.82,-0.23,2021-01-01 00:00:17,0,7,0,buffalo
23.53,998.22,27.85,-0.36,2021-01-01 00:00:18,0,7,0,buffalo
23.53,998.22,27.86,-0.25,2021-01-01 00:00:18,0,7,0,buffalo
23.52,998.2,27.84,-0.31,2021-01-01 00:00:19,0,7,0,buffalo
23.53,998.22,27.83,-0.25,2021-01-01 00:00:19,0,7,0,buffalo
23.53,998.19,27.84,-0.54,2021-01-01 00:00:20,0,7,0,buffalo
23.53,998.24,27.87,-0.35,2021-01-01 00:00:21,0,7,0,buffalo
23.54,998.15,27.85,-0.32,2021-01-01 00:00:21,0,7,0,buffalo
23.53,998.21,27.84,-0.31,2021-01-01 00:00:22,0,7,0,buffalo
23.54,998.17,27.84,-0.32,2021-01-01 00:00:22,0,7,0,buffalo
